Database,Title,Authors,Country of Publication,Abstract,Publication Type,Year,Journal,C_n,C_M,C_sd,M_n,M_M,M_sd,group,drug_control,adaptation,drug_control,sleep_disorders,matched_controls
Embase,Study of sleep microstructure in patients of migraine without aura.,Nayak et al. (2016),Germany,"Purpose: Although the relationship between sleep and migraine has been widely reported, studies on sleep microstructure are few. The aim was to study and compare microstructural polysomnographic characteristics in patients of ""migraine without aura"" (MOA) with controls. Method(s): Twenty-five patients of MOA and 25 age- and gender-matched healthy controls were subjected to overnight polysomnography. Microstructural sleep analysis, including arousal and cyclic alternating pattern (CAP) analysis was performed. Arousals and CAP parameters were compared between the two groups using the Mann-Whitney U test (p <= 0.05). Result(s): The overall arousal index (p = 0.528) and that during non-rapid eye movement (NREM) sleep (p = 0.503) were comparable between the two groups. However, the arousal index was lower in migraineurs during rapid eye movement (REM) sleep (p = 0.001). The overall CAP rate (p = 0.020) as well as the number of CAP cycles and sequences (p = 0.032) was lower among migraineurs. The total phase A duration (p < 0.0001) was increased, and conversely, phase B duration (p = 0.001) was decreased in migraineurs. The phase A1 duration (p = 0.036) was higher in migraineurs. Finally, phase A1 (p = 0.357) index was comparable, and conversely, A2 (p < 0.0001) and A3 (p = 0.020) indices were decreased in migraineurs. Conclusion(s): This study showed a decreased REM arousability as well as a decreased overall CAP rate and CAP cycling in patients with migraine as compared to controls. This indicates that there is probably an alteration of the arousal mechanisms in patients with migraine that may facilitate the occurrence of headache paroxysms during sleep.Copyright © 2015, Springer-Verlag Berlin Heidelberg.",Article,2016,Sleep and Breathing,25,14.83,9.49,25,27.12,17.27,adult,yes,no,yes,yes,yes
Embase,Alteration in polysomnographic profile in 'migraine without aura' compared to healthy controls.,Karthik et al. (2013),Netherlands,"Objective: Studies related to sleep macroarchitecture in migraines are far and few between. We studied the polysomnographic (PSG) abnormalities in subjects of 'migraine without aura' as compared to healthy controls. Method(s): Thirty patients of 'migraine without aura' were prospectively recruited. The frequency and severity of headaches was assessed using the migraine disability assessment score (MIDAS). Patients were evaluated for their sleep quality and excessive daytime sleepiness with the Pittsburgh sleep quality index (PSQI) and Epworth sleepiness scale (ESS), respectively. Their overnight PSGs were compared with 32 healthy controls who were group matched for age. Result(s): The mean age of the cases (33.5+/-8.6 years) and controls (30.2+/-9.6 years) was comparable. There was a female preponderance among the migraineurs (80%). The sleep efficiency was significantly lower in the cases as compared to the controls (P=0.003). Stage 4 sleep (p=0.008) and total NREM sleep (p=0.001) was also significantly less in the cases as compared to the controls. Sleep onset (p=0.021) and stage 1 latency (p=0.048) was significantly prolonged in cases as compared to controls. Conclusion(s): This study showed significantly lower sleep efficiency, prolonged sleep onset latency, lesser stage 4 and NREM sleep, and more number of total awakenings in migraineurs compared to the controls. Further studies are required to detect whether these abnormalities are due to migraine per se or associated comorbidities. © 2012 Elsevier B.V.",Article,2013,Sleep Medicine,32,15.8,7.7,30,26.1,16.3,adult,yes,no,yes,no,yes
Embase,Heart rate variability in sleep-related migraine without aura.,Vollono et al. (2013),United States,"Objectives: This is an observational study aimed to investigate the activity of autonomic nervous system during sleep in patients with sleep-related migraine. Method(s): Eight consecutive migraineurs without aura were enrolled (6 women and 2 men), aged 30 to 62 years (mean 48.1 +/- 9.3 years). Inclusion criteria were: high frequency of attacks (> 5 per month) and occurrence of more than 75% of the attacks during sleep causing an awakening. Patients were compared with a control group of 55 healthy subjects (23 men and 32 women, mean age 54.2 +/- 13.0 years), and with a further control group of 8 age- And gender-matched healthy controls. Patient and controls underwent polysomnography and heart rate variability analysis. Result(s): A significant reduction of the LF/HF ratio during N2 and N3 sleep stages was observed in migraineurs compared with controls. No differences in sleep macrostructure were observed; cyclic alternating pattern (CAP) time and CAP rate were lower in migraineurs than in controls. Conclusion(s): These findings indicate a peculiar modification of the autonomic balance during sleep in sleep-related migraine. The reduction of LF/HF ratio in NREM sleep was observed in controls, but it was quantitatively much more evident in migraineurs. Changes in LF/HF could be consequent to an autonomic unbalance which could manifest selectively (or alternatively become more evident) during sleep. These findings, together with the reduction in CAP rate, could be an expression of reduced arousability during sleep in patients with sleep-related migraine. The simultaneous involvement of the autonomic, arousal, and pain systems might suggest involvement of the hypothalamic pathways.",Article,2013,Journal of Clinical Sleep Medicine,8,40.3,28,8,33.2,13.4,adult,yes,no,yes,yes,yes
Embase,Psychiatric and sleep abnormalities in school-age children with migraine.,El-Heneedy et al. (2019),Germany,"Background: Migraine is a primary headache that commonly starts in childhood and adolescent's periods with great negative impacts on the educational and psychosocial performances of its sufferers. The objectives of this work were to study the existence and types of sleep and psychiatric abnormalities in school-age children with migraine (SCM). Method(s): The study was conducted on 40 SCM and 20 age-and sex-matched healthy control subjects (HCS) submitted to history taking, neurological examination, Pediatric Migraine Disability Assessment (PedMIDAS) questionnaire, Child Behavior Checklist (CBCL), Epworth Sleepiness Scale for Children and Adolescents (ESS-CHAD), Pittsburgh Sleep Quality Index (PSQI) and one-night polysomnography (PSG). Result(s): The study showed a high incidence of psychiatric and sleep abnormalities in SCM. The most common psychiatric disorders were anxious depressed symptoms, withdrawal depressed symptoms, social problem, somatic complaints, and attention problems. At the same time, SCM experienced decreased sleep quality, excessive daytime sleepiness (EDS), and PSG abnormalities in the form of decreased total sleep time (TST) and sleep efficiency (SE) in addition to increased sleep latency, wake after sleep onset (WASO), arousal index (AI), and REM sleep without atonia index. Conclusion(s): Sleep and psychiatric abnormalities are common underdiagnosed pediatric migraine comorbidities greatly reducing headache control and school performance in this very important period of psychosocial development.Copyright © The Author(s). 2019.",Article,2019,"Egyptian Journal of Neurology, Psychiatry and Neurosurgery",20,5.75,1.21,40,8.8,23.88,child,yes,no,yes,no,yes
Embase,Nrem sleep instability in pediatric migraine without aura.,Roccella et al. (2019),Switzerland,"Children with migraine headaches appear to have a range of sleep disturbances. The aim of the present study was to assess the NREM sleep instability in a population of school-aged individuals affected by migraine without aura (MoA). Thirty-three children with MoA (20 males, 13 females, mean age 10.45 +/- 2.06 years) underwent to overnight Polysomnographic (PSG) recordings and Cyclic Alternating Pattern (CAP) analyses accordingly with international criteria. MoA group showed a reduction in sleep duration parameters (TIB, SPT, TST; p <= 0.001 for all) and in arousal index during REM sleep and an increase in awakenings per hour (AWK/h) vs. Controls (C) (p = 0.008). In particular, MoA children showed a reduced CAP rate% (p <= 0.001), CAP rate% in S1 (p <= 0.001) and CAP rate% in SWS (p = 0.004) vs. C. Moreover, A phases distribution were characterized by a reduction in slow wave components (total number CAP A1%, CAP A1 index) (p <= 0.001) and an increase of fast components representation (total number of CAP A2% and CAP A3%) (p < 0.001) in MoA vs. C. Moreover, MoA children showed an increased A1 and A2 mean duration (p <= 0.001). Our findings show a reduction of arousability in MoA group and lower NREM lower sleep instability associated with MoA in children.Copyright © 2019 Roccella, Marotta, Operto, Smirni, Precenzano, Bitetti, Messina, Sessa, Di Mizio, Loreto, Salerno, Russo, Murabito, Gallai, Esposito, Iacono and Carotenuto.",Article,2019,Frontiers in Neurology,52,4.91,4.3,33,11.01,11.49,child,yes,yes,yes,no,yes
Embase,Migraine and periodic limb movement disorders in sleep in children: A preliminary case-control study.,Esposito et al. (2013),United Kingdom,"Background: The relationships between sleep and headaches are complex and manifold. About the variety of phenomena that can disrupt the sleep macrostructure and can impact its restorative function, the periodic limb movements disorder (PLMd) can be considered as the most powerful. No studies are known about the role of PLMd in the pathophysiology of migraine in children. Aim of study is to assess the prevalence of PLMd and migraine and their relationship with disability and pain intensity in a pediatric sample, referred for migraine without aura by pediatricians. Method(s): After a preliminary sleep habits screening with the Sleep Disturbances Scale for Children, 34 migraine subjects affected by migraine without aura (20 M, 14 F) (mean age 9.08; SD +/- 2.28) and 51 volunteers healthy children (28 M, 23 F) (mean age 9.37; SD +/- 1.81) accepted to underwent overnight PSG recordings in the Sleep Laboratory of the Clinic of Child and Adolescent Neuropsychiatry, in order to define the macrostructural sleep characteristics and the prevalence of PLMd. Subsequently, the migraineurs sample was studied in order to define the relationship between disability, pain intensity, therapeutical responsiveness and the presence of PLMd. Result(s): In the migraineurs children group, the individuals with PLM pathological index (PLMI >= 5) represent the 26.47% of sample and present higher frequency (p < 0.001), intensity (p < 0.001), duration (p = 0.006) and life impairment as scored in the PedMIDAS (p < 0.001) of headache and lower efficacy of prophylactic (p = 0.001) and acute (p = 0.006) pharmacological treatment than MoA children without PLM pathological index. Conclusion(s): This preliminary study indicates the potential value of the determination of the PLMd signs, and the importance of the PSG evaluation in children affected by migraine, particularly when the clinical and pharmacological management tend to fail in the attacks control. © 2013 Esposito et al.; licensee Springer.",Article,2013,Journal of Headache and Pain,51,4.85,4.09,34,6.71,7.16,child,yes,yes,yes,no,yes
